SKU,Supplier_Name,Lead_Time_Days,Monsoon_Lead_Time_Days,Contact_Person,Phone_Number
GOA-MANGO-0232,North-Goa Logistics,4,6,Ricardo Sawant,+91 77454 19689
GOA-GRAIN-0233,Mandovi Agro Traders,2,6,Ricardo Naik,+91 99538 58789
GOA-DAIRY-0234,Mandovi Agro Traders,4,6,Ricardo Naik,+91 87991 64604
GOA-SNACK-0235,Coastal Industries,4,7,Sanjay D'Souza,+91 83850 38559
GOA-SNACK-0236,Mandovi Logistics,4,8,Vikram Gomes,+91 94367 17913
GOA-OIL-0237,Mandovi Distributors,2,7,Priya Sawant,+91 97385 73166
GOA-KOKUM-0238,Coastal Foods,2,4,Rahul Kulkarni,+91 88437 41530
GOA-MANGO-0239,South-Goa Distributors,2,4,Rahul Fernandes,+91 89345 41274
GOA-DAIRY-0240,Mandovi Distributors,4,7,Amit D'Souza,+91 83935 28373
GOA-SPICE-0241,Zuari Agro Traders,2,6,Maria D'Souza,+91 88716 10885
GOA-SNACK-0242,Zuari Foods,3,6,Rahul Pinto,+91 72936 88072
GOA-CASHEW-0243,Zuari Industries,3,6,Amit Pinto,+91 97435 13593
GOA-SNACK-0244,Mandovi Industries,4,9,Sanjay Fernandes,+91 89711 13266
GOA-CASHEW-0245,Coastal Industries,3,7,Ricardo Fernandes,+91 75572 17413
GOA-FENI-0246,Coastal Industries,3,8,Deepa Fernandes,+91 95571 43473
GOA-SPICE-0247,North-Goa Distributors,2,7,Sanjay Gomes,+91 92633 94668
GOA-GRAIN-0248,Sahyadri Agro Traders,2,7,Deepa D'Souza,+91 74002 59097
GOA-SNACK-0249,Mandovi Distributors,4,8,Rahul Kulkarni,+91 77460 62533
GOA-BEV-0250,Sahyadri Foods,2,4,Rahul Pinto,+91 81051 94251
GOA-FENI-0251,North-Goa Industries,4,6,Amit Naik,+91 79143 90478
GOA-CASHEW-0252,Sahyadri Agro Traders,3,7,Deepa Pinto,+91 74418 40661
GOA-FENI-0253,Zuari Agro Traders,4,7,Ricardo Prabhu,+91 88120 66376
GOA-KOKUM-0254,Zuari Distributors,3,8,Priya Gomes,+91 80129 12610
GOA-BEV-0255,Mandovi Foods,4,8,Deepa Pinto,+91 97333 21712
GOA-GRAIN-0256,Mandovi Foods,4,7,Anjali Naik,+91 94306 73524
GOA-KOKUM-0257,Mandovi Logistics,2,7,Anjali Fernandes,+91 74484 99279
GOA-CASHEW-0258,Mandovi Distributors,4,8,Anjali Naik,+91 76687 79940
GOA-SPICE-0259,Sahyadri Logistics,2,4,Sanjay Prabhu,+91 96572 77087
GOA-GRAIN-0260,Zuari Agro Traders,4,8,Sanjay Gomes,+91 92862 29218
GOA-GRAIN-0261,Coastal Distributors,3,8,Rahul D'Souza,+91 96698 85605
GOA-CASHEW-0262,Mandovi Industries,2,5,Rahul Pinto,+91 80057 68305
GOA-BEV-0263,Sahyadri Logistics,4,6,Sunil Naik,+91 87322 75757
GOA-FENI-0264,North-Goa Industries,2,7,Maria Prabhu,+91 73714 60879
GOA-CASHEW-0265,Sahyadri Logistics,3,7,Ricardo Kulkarni,+91 89799 73023
GOA-BEV-0266,South-Goa Logistics,2,7,Sunil Pinto,+91 96708 54222
GOA-DAIRY-0267,Zuari Distributors,4,9,Amit Sawant,+91 77364 65459
GOA-SNACK-0268,Mandovi Foods,4,6,Ricardo D'Souza,+91 92143 22042
GOA-BEV-0269,North-Goa Foods,4,7,Vikram Sawant,+91 84342 29353
GOA-GRAIN-0270,South-Goa Agro Traders,3,8,Sanjay Sawant,+91 80814 71738
GOA-FENI-0271,Mandovi Logistics,4,8,Vikram Sawant,+91 93664 73362
GOA-CASHEW-0272,Mandovi Logistics,4,6,Anjali D'Souza,+91 87491 56947
GOA-FENI-0273,Mandovi Logistics,2,4,Rahul Kulkarni,+91 83774 25878
GOA-CASHEW-0274,Mandovi Distributors,2,6,Deepa Naik,+91 73355 77220
GOA-SPICE-0275,Coastal Distributors,2,6,Amit Gomes,+91 89220 84973
GOA-GRAIN-0276,Zuari Logistics,4,7,Sunil Naik,+91 76037 19394
GOA-CASHEW-0277,Mandovi Logistics,3,7,Sanjay Gomes,+91 80792 78330
GOA-BEV-0278,Mandovi Agro Traders,4,8,Priya Naik,+91 86106 32493
GOA-CASHEW-0279,Sahyadri Logistics,2,5,Maria Fernandes,+91 92669 23029
GOA-CASHEW-0280,Mandovi Industries,3,6,Deepa Sawant,+91 89328 32526
GOA-MANGO-0281,South-Goa Industries,4,6,Deepa Pinto,+91 93224 92736
GOA-BEV-0282,Zuari Industries,3,6,Ricardo Sawant,+91 72854 90916
GOA-BEV-0283,Sahyadri Distributors,4,9,Ricardo Sawant,+91 86961 11723
GOA-KOKUM-0284,Coastal Industries,3,5,Rahul D'Souza,+91 77216 95300
GOA-OIL-0285,Zuari Logistics,4,9,Deepa Sawant,+91 99254 24174
GOA-CASHEW-0286,North-Goa Distributors,4,7,Priya Sawant,+91 90860 93952
GOA-OIL-0287,Coastal Industries,3,7,Sunil Fernandes,+91 71893 67029
GOA-FENI-0288,Zuari Foods,2,4,Sanjay Fernandes,+91 98349 54606
GOA-GRAIN-0289,South-Goa Logistics,3,8,Sunil Gomes,+91 80564 29294
GOA-KOKUM-0290,Mandovi Logistics,3,7,Rahul D'Souza,+91 87208 71966
GOA-DAIRY-0291,North-Goa Agro Traders,2,6,Rahul Prabhu,+91 93582 31293
GOA-OIL-0292,Coastal Foods,2,7,Priya Sawant,+91 77355 22188
GOA-OIL-0293,Coastal Agro Traders,2,5,Anjali Fernandes,+91 82674 96754
GOA-DAIRY-0294,Coastal Foods,2,6,Ricardo Pinto,+91 70928 16926
GOA-MANGO-0295,Mandovi Distributors,3,8,Sanjay Pinto,+91 92044 47527
GOA-MANGO-0296,Sahyadri Foods,2,4,Amit Pinto,+91 91284 91380
GOA-SNACK-0297,Mandovi Distributors,4,8,Priya Prabhu,+91 79585 27229
GOA-OIL-0298,South-Goa Industries,2,4,Deepa Sawant,+91 93674 62024
GOA-OIL-0299,Mandovi Logistics,2,6,Ricardo Prabhu,+91 91191 72351
GOA-GRAIN-0300,North-Goa Agro Traders,4,7,Sanjay D'Souza,+91 83953 29990
GOA-MANGO-0301,Zuari Agro Traders,4,9,Anjali Sawant,+91 86775 98682
GOA-OIL-0302,North-Goa Industries,4,7,Rahul Sawant,+91 77853 76775
GOA-DAIRY-0303,North-Goa Foods,4,8,Amit Pinto,+91 70165 48809
GOA-BEV-0304,Zuari Logistics,3,7,Amit Kulkarni,+91 89266 68320
GOA-CASHEW-0305,South-Goa Foods,4,7,Priya Gomes,+91 74076 42191
GOA-FENI-0306,Zuari Distributors,4,7,Priya Gomes,+91 99617 49677
GOA-GRAIN-0307,South-Goa Agro Traders,2,6,Maria Kulkarni,+91 90191 19648
GOA-MANGO-0308,Sahyadri Foods,3,6,Amit Pinto,+91 93198 97781
GOA-BEV-0309,North-Goa Foods,3,5,Ricardo Fernandes,+91 95133 39190
GOA-GRAIN-0310,South-Goa Agro Traders,2,7,Deepa Fernandes,+91 88151 58313
GOA-SNACK-0311,Mandovi Foods,2,7,Sanjay Sawant,+91 76399 38553
GOA-CASHEW-0312,South-Goa Distributors,4,8,Deepa Gomes,+91 80232 95767
GOA-GRAIN-0313,Sahyadri Distributors,4,9,Rahul Prabhu,+91 97959 41579
GOA-FENI-0314,North-Goa Foods,3,8,Sunil D'Souza,+91 85938 71158
